Review,Liked,reviews_cleaned,reviews_cleaned_stopwords
"Seriously flavorful delights, folks.",1,seriously flavorful delights folks,seriously flavorful delights folks
Much better than the other AYCE sushi place I went to in Vegas.,1,much better than the other ayce sushi place i went to in vegas,much better ayce sushi place went vegas
The lighting is just dark enough to set the mood.,1,the lighting is just dark enough to set the mood,lighting dark enough set mood
Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,0,based on the sub-par service i received and no effort to show their gratitude for my business i will not be going back,based sub-par service received effort show gratitude business going back
Owner's are really great people.!,1,owner 's are really great people,owner 's really great people
There is nothing privileged about working/eating there.,0,there is nothing privileged about working/eating there,nothing privileged working/eating
The Greek dressing was very creamy and flavorful.,1,the greek dressing was very creamy and flavorful,greek dressing creamy flavorful
"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0,overall i do not think that i would take my parents to this place again because they made most of the similar complaints that i silently felt too,overall think would take parents place made similar complaints silently felt
Now the pizza itself was good the peanut sauce was very tasty.,1,now the pizza itself was good the peanut sauce was very tasty,pizza good peanut sauce tasty
We had 7 at our table and the service was pretty fast.,1,we had 7 at our table and the service was pretty fast,7 table service pretty fast
Fantastic service here.,1,fantastic service here,fantastic service
I as well would've given godfathers zero stars if possible.,0,i as well would have given godfathers zero stars if possible,well would given godfathers zero stars possible
They know how to make them here.,1,they know how to make them here,know make
very tough and very short on flavor!,0,very tough and very short on flavor,tough short flavor
I hope this place sticks around.,1,i hope this place sticks around,hope place sticks around
"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0,i have been in more than a few bars in vegas and do not ever recall being charged for tap water,bars vegas ever recall charged tap water
The restaurant atmosphere was exquisite.,1,the restaurant atmosphere was exquisite,restaurant atmosphere exquisite
"Good service, very clean, and inexpensive, to boot!",1,good service very clean and inexpensive to boot,good service clean inexpensive boot
The seafood was fresh and generous in portion.,1,the seafood was fresh and generous in portion,seafood fresh generous portion
"Plus, it's only 8 bucks.",1,plus it is only 8 bucks,plus 8 bucks
"The service was not up to par, either.",0,the service was not up to par either,service par either
"Thus far, have only visited twice and the food was absolutely delicious each time.",1,thus far have only visited twice and the food was absolutely delicious each time,thus far visited twice food absolutely delicious time
Just as good as when I had it more than a year ago!,1,just as good as when i had it more than a year ago,good year ago
"For a self proclaimed coffee cafe, I was wildly disappointed.",0,for a self proclaimed coffee cafe i was wildly disappointed,self proclaimed coffee cafe wildly disappointed
The Veggitarian platter is out of this world!,1,the veggitarian platter is out of this world,veggitarian platter world
You cant go wrong with any of the food here.,1,you can not go wrong with any of the food here,go wrong food
You can't beat that.,1,you can not beat that,beat
"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",1,stopped by this place while in madison for the ironman very friendly kind staff,stopped place madison ironman friendly kind staff
The chefs were friendly and did a good job.,1,the chefs were friendly and did a good job,chefs friendly good job
"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",0,i have had better not only from dedicated boba tea spots but even from jenni pho,better dedicated boba tea spots even jenni pho
I liked the patio and the service was outstanding.,1,i liked the patio and the service was outstanding,liked patio service outstanding
The goat taco didn't skimp on the meat and wow what FLAVOR!,1,the goat taco did not skimp on the meat and wow what flavor,goat taco skimp meat wow flavor
I think not again,0,i think not again,think
I had the mac salad and it was pretty bland so I will not be getting that again.,0,i had the mac salad and it was pretty bland so i will not be getting that again,mac salad pretty bland getting
I went to Bachi Burger on a friend's recommendation and was not disappointed.,1,i went to bachi burger on a friend 's recommendation and was not disappointed,went bachi burger friend 's recommendation disappointed
Service stinks here!,0,service stinks here,service stinks
I waited and waited.,0,i waited and waited,waited waited
"This place is not quality sushi, it is not a quality restaurant.",0,this place is not quality sushi it is not a quality restaurant,place quality sushi quality restaurant
I would definitely recommend the wings as well as the pizza.,1,i would definitely recommend the wings as well as the pizza,would definitely recommend wings well pizza
Great Pizza and Salads!,1,great pizza and salads,great pizza salads
Things that went wrong: - They burned the saganaki.,0,things that went wrong they burned the saganaki,things went wrong burned saganaki
We waited an hour for what was a breakfast I could have done 100 times better at home.,0,we waited an hour for what was a breakfast i could have done 100 times better at home,waited hour breakfast could done 100 times better home
This place is amazing!,1,this place is amazing,place amazing
"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",0,i hate to disagree with my fellow yelpers but my husband and i were so disappointed with this place,hate disagree fellow yelpers husband disappointed place
Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,0,waited 2 hours never got either of our pizzas as many other around us who came in later did,waited 2 hours never got either pizzas many around us came later
Just don't know why they were so slow.,0,just do not know why they were so slow,know slow
"The staff is great, the food is delish, and they have an incredible beer selection.",1,the staff is great the food is delish and they have an incredible beer selection,staff great food delish incredible beer selection
"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",0,i live in the neighborhood so i am disappointed i will not be back here because it is a convenient location,live neighborhood disappointed back convenient location
I didn't know pulled pork could be soooo delicious.,1,i did not know pulled pork could be soooo delicious,know pulled pork could soooo delicious
"You get incredibly fresh fish, prepared with care.",1,you get incredibly fresh fish prepared with care,get incredibly fresh fish prepared care
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,0,before i go in to why i gave a 1 star rating please know that this was my third time eating at bachi burger before writing a review,go gave 1 star rating please know third time eating bachi burger writing review
I love the fact that everything on their menu is worth it.,1,i love the fact that everything on their menu is worth it,love fact everything menu worth
Never again will I be dining at this place!,0,never again will i be dining at this place,never dining place
The food was excellent and service was very good.,1,the food was excellent and service was very good,food excellent service good
Good beer & drink selection and good food selection.,1,good beer drink selection and good food selection,good beer drink selection good food selection
Please stay away from the shrimp stir fried noodles.,0,please stay away from the shrimp stir fried noodles,please stay away shrimp stir fried noodles
The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,0,the potato chip order was sad ... i could probably count how many chips were in that box and it was probably around 12,potato chip order sad ... could probably count many chips box probably around 12
Food was really boring.,0,food was really boring,food really boring
Good Service-check!,1,good service-check,good service-check
This greedy corporation will NEVER see another dime from me!,0,this greedy corporation will never see another dime from me,greedy corporation never see another dime
"Will never, ever go back.",0,will never ever go back,never ever go back
"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",0,as much as i would like to go back i can not get passed the atrocious service and will never return,much would like go back get passed atrocious service never return
"In the summer, you can dine in a charming outdoor patio - so very delightful.",1,in the summer you can dine in a charming outdoor patio so very delightful,summer dine charming outdoor patio delightful
I did not expect this to be so good!,1,i did not expect this to be so good,expect good
Fantastic food!,1,fantastic food,fantastic food
She ordered a toasted English muffin that came out untoasted.,0,she ordered a toasted english muffin that came out untoasted,ordered toasted english muffin came untoasted
The food was very good.,1,the food was very good,food good
Never going back.,0,never going back,never going back
"Great food for the price, which is very high quality and house made.",1,great food for the price which is very high quality and house made,great food price high quality house made
The bus boy on the other hand was so rude.,0,the bus boy on the other hand was so rude,bus boy hand rude
"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",0,by this point my friends and i had basically figured out this place was a joke and did not mind making it publicly and loudly known,point friends basically figured place joke mind making publicly loudly known
"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",1,back to good bbq lighter fare reasonable pricing and tell the public they are back to the old ways,back good bbq lighter fare reasonable pricing tell public back old ways
"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",1,and considering the two of us left there very full and happy for about 20 you just can not go wrong,considering two us left full happy 20 go wrong
All the bread is made in-house!,1,all the bread is made in-house,bread made in-house
The only downside is the service.,0,the only downside is the service,downside service
"Also, the fries are without a doubt the worst fries I've ever had.",0,also the fries are without a doubt the worst fries i have ever had,also fries without doubt worst fries ever
Service was exceptional and food was a good as all the reviews.,1,service was exceptional and food was a good as all the reviews,service exceptional food good reviews
"A couple of months later, I returned and had an amazing meal.",1,a couple of months later i returned and had an amazing meal,couple months later returned amazing meal
Favorite place in town for shawarrrrrrma!!!!!!,1,favorite place in town for shawarrrrrrma,favorite place town shawarrrrrrma
The black eyed peas and sweet potatoes... UNREAL!,1,the black eyed peas and sweet potatoes ... unreal,black eyed peas sweet potatoes ... unreal
You won't be disappointed.,1,you will not be disappointed,disappointed
"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",1,they could serve it with just the vinaigrette and it may make for a better overall dish but it was still very good,could serve vinaigrette may make better overall dish still good
"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",0,i go to far too many places and i have never seen any restaurant that serves a 1 egg breakfast especially for 4.00,go far many places never seen restaurant serves 1 egg breakfast especially 4.00
When my mom and I got home she immediately got sick and she only had a few bites of salad.,0,when my mom and i got home she immediately got sick and she only had a few bites of salad,mom got home immediately got sick bites salad
The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,0,the servers are not pleasant to deal with and they do not always honor pizza hut coupons,servers pleasant deal always honor pizza hut coupons
"Both of them were truly unbelievably good, and I am so glad we went back.",1,both of them were truly unbelievably good and i am so glad we went back,truly unbelievably good glad went back
"We had fantastic service, and were pleased by the atmosphere.",1,we had fantastic service and were pleased by the atmosphere,fantastic service pleased atmosphere
Everything was gross.,0,everything was gross,everything gross
I love this place.,1,i love this place,love place
Great service and food.,1,great service and food,great service food
First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,0,first the bathrooms at this location were dirty- seat covers were not replenished just plain yucky,first bathrooms location dirty- seat covers replenished plain yucky
"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",0,the burger ... i got the `` gold standard '' a 17 burger and was kind of disappointed,burger ... got `` gold standard `` 17 burger kind disappointed
"OMG, the food was delicioso!",1,omg the food was delicioso,omg food delicioso
There is nothing authentic about this place.,0,there is nothing authentic about this place,nothing authentic place
the spaghetti is nothing special whatsoever.,0,the spaghetti is nothing special whatsoever,spaghetti nothing special whatsoever
"Of all the dishes, the salmon was the best, but all were great.",1,of all the dishes the salmon was the best but all were great,dishes salmon best great
The vegetables are so fresh and the sauce feels like authentic Thai.,1,the vegetables are so fresh and the sauce feels like authentic thai,vegetables fresh sauce feels like authentic thai
It's worth driving up from Tucson!,1,it is worth driving up from tucson,worth driving tucson
The selection was probably the worst I've seen in Vegas.....there was none.,0,the selection was probably the worst i have seen in vegas ..... there was none,selection probably worst seen vegas ..... none
Pretty good beer selection too.,1,pretty good beer selection too,pretty good beer selection
"This place is like Chipotle, but BETTER.",1,this place is like chipotle but better,place like chipotle better
"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",1,classy/warm atmosphere fun and fresh appetizers succulent steaks baseball steak,classy/warm atmosphere fun fresh appetizers succulent steaks baseball steak
5 stars for the brick oven bread app!,1,5 stars for the brick oven bread app,5 stars brick oven bread app
"I have eaten here multiple times, and each time the food was delicious.",1,i have eaten here multiple times and each time the food was delicious,eaten multiple times time food delicious
We sat another ten minutes and finally gave up and left.,0,we sat another ten minutes and finally gave up and left,sat another ten minutes finally gave left
He was terrible!,0,he was terrible,terrible
Everyone is treated equally special.,1,everyone is treated equally special,everyone treated equally special
It shouldn't take 30 min for pancakes and eggs.,0,it should not take 30 min for pancakes and eggs,take 30 min pancakes eggs
It was delicious!!!,1,it was delicious,delicious
"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",1,on the good side the staff was genuinely pleasant and enthusiastic a real treat,good side staff genuinely pleasant enthusiastic real treat
"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",0,sadly gordon ramsey 's steak is a place we shall sharply avoid during our next trip to vegas,sadly gordon ramsey 's steak place shall sharply avoid next trip vegas
As always the evening was wonderful and the food delicious!,1,as always the evening was wonderful and the food delicious,always evening wonderful food delicious
Best fish I've ever had in my life!,1,best fish i have ever had in my life,best fish ever life
(The bathroom is just next door and very nice.),1,the bathroom is just next door and very nice,bathroom next door nice
The buffet is small and all the food they offered was BLAND.,0,the buffet is small and all the food they offered was bland,buffet small food offered bland
This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,1,this is an outstanding little restaurant with some of the best food i have ever tasted,outstanding little restaurant best food ever tasted
Pretty cool I would say.,1,pretty cool i would say,pretty cool would say
Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,0,definitely a turn off for me i doubt i will be back unless someone else is buying,definitely turn doubt back unless someone else buying
Server did a great job handling our large rowdy table.,1,server did a great job handling our large rowdy table,server great job handling large rowdy table
"I find wasting food to be despicable, but this just wasn't food.",0,i find wasting food to be despicable but this just was not food,find wasting food despicable food
My wife had the Lobster Bisque soup which was lukewarm.,0,my wife had the lobster bisque soup which was lukewarm,wife lobster bisque soup lukewarm
Would come back again if I had a sushi craving while in Vegas.,1,would come back again if i had a sushi craving while in vegas,would come back sushi craving vegas
"The staff are great, the ambiance is great.",1,the staff are great the ambiance is great,staff great ambiance great
He deserves 5 stars.,1,he deserves 5 stars,deserves 5 stars
I left with a stomach ache and felt sick the rest of the day.,0,i left with a stomach ache and felt sick the rest of the day,left stomach ache felt sick rest day
They dropped more than the ball.,0,they dropped more than the ball,dropped ball
"The dining space is tiny, but elegantly decorated and comfortable.",1,the dining space is tiny but elegantly decorated and comfortable,dining space tiny elegantly decorated comfortable
"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",1,they will customize your order any way you would like my usual is eggplant with green bean stir fry love it,customize order way would like usual eggplant green bean stir fry love
And the beans and rice were mediocre at best.,0,and the beans and rice were mediocre at best,beans rice mediocre best
Best tacos in town by far!!,1,best tacos in town by far,best tacos town far
I took back my money and got outta there.,0,i took back my money and got outta there,took back money got outta
"In an interesting part of town, this place is amazing.",1,in an interesting part of town this place is amazing,interesting part town place amazing
RUDE & INCONSIDERATE MANAGEMENT.,0,rude inconsiderate management,rude inconsiderate management
"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",0,the staff are now not as friendly the wait times for being served are horrible no one even says hi for the first 10 minutes,staff friendly wait times served horrible one even says hi first 10 minutes
I won't be back.,0,i will not be back,back
They have great dinners.,1,they have great dinners,great dinners
The service was outshining & I definitely recommend the Halibut.,1,the service was outshining i definitely recommend the halibut,service outshining definitely recommend halibut
The food was terrible.,0,the food was terrible,food terrible
WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,0,will never ever go back and have told many people what had happened,never ever go back told many people happened
I don't recommend unless your car breaks down in front of it and you are starving.,0,i do not recommend unless your car breaks down in front of it and you are starving,recommend unless car breaks front starving
I will come back here every time I'm in Vegas.,1,i will come back here every time i am in vegas,come back every time vegas
This place deserves one star and 90% has to do with the food.,0,this place deserves one star and 90 has to do with the food,place deserves one star 90 food
This is a disgrace.,0,this is a disgrace,disgrace
Def coming back to bowl next time,1,def coming back to bowl next time,def coming back bowl next time
"If you want healthy authentic or ethic food, try this place.",1,if you want healthy authentic or ethic food try this place,want healthy authentic ethic food try place
I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area.,1,i will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area,continue come ladies night andddd date night ... highly recommend place anyone area
"I have been here several times in the past, and the experience has always been great.",1,i have been here several times in the past and the experience has always been great,several times past experience always great
We walked away stuffed and happy about our first Vegas buffet experience.,1,we walked away stuffed and happy about our first vegas buffet experience,walked away stuffed happy first vegas buffet experience
Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.,1,service was excellent and prices are pretty reasonable considering this is vegas and located inside the crystals shopping mall by aria,service excellent prices pretty reasonable considering vegas located inside crystals shopping mall aria
"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.",1,to summarize ... the food was incredible nay transcendant ... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser,summarize ... food incredible nay transcendant ... nothing brings joy quite like memory pneumatic condiment dispenser
I'm probably one of the few people to ever go to Ians and not like it.,0,i am probably one of the few people to ever go to ians and not like it,probably one people ever go ians like
Kids pizza is always a hit too with lots of great side dish options for the kiddos!,1,kids pizza is always a hit too with lots of great side dish options for the kiddos,kids pizza always hit lots great side dish options kiddos
Service is perfect and the family atmosphere is nice to see.,1,service is perfect and the family atmosphere is nice to see,service perfect family atmosphere nice see
Cooked to perfection and the service was impeccable.,1,cooked to perfection and the service was impeccable,cooked perfection service impeccable
This one is simply a disappointment.,0,this one is simply a disappointment,one simply disappointment
"Overall, I was very disappointed with the quality of food at Bouchon.",0,overall i was very disappointed with the quality of food at bouchon,overall disappointed quality food bouchon
I don't have to be an accountant to know I'm getting screwed!,0,i do not have to be an accountant to know i am getting screwed,accountant know getting screwed
"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.",1,great place to eat reminds me of the little mom and pop shops in the san francisco bay area,great place eat reminds little mom pop shops san francisco bay area
Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.,1,today was my first taste of a buldogis gourmet hot dog and i have to tell you it was more than i ever thought possible,today first taste buldogis gourmet hot dog tell ever thought possible
Left very frustrated.,0,left very frustrated,left frustrated
I'll definitely be in soon again.,1,i will definitely be in soon again,definitely soon
Food was really good and I got full petty fast.,1,food was really good and i got full petty fast,food really good got full petty fast
Service was fantastic.,1,service was fantastic,service fantastic
TOTAL WASTE OF TIME.,0,total waste of time,total waste time
I don't know what kind it is but they have the best iced tea.,1,i do not know what kind it is but they have the best iced tea,know kind best iced tea
"Come hungry, leave happy and stuffed!",1,come hungry leave happy and stuffed,come hungry leave happy stuffed
"For service, I give them no stars.",0,for service i give them no stars,service give stars
I can assure you that you won't be disappointed.,1,i can assure you that you will not be disappointed,assure disappointed
I can take a little bad service but the food sucks.,0,i can take a little bad service but the food sucks,take little bad service food sucks
Gave up trying to eat any of the crust (teeth still sore).,0,gave up trying to eat any of the crust teeth still sore,gave trying eat crust teeth still sore
But now I was completely grossed out.,0,but now i was completely grossed out,completely grossed
I really enjoyed eating here.,1,i really enjoyed eating here,really enjoyed eating
First time going but I think I will quickly become a regular.,1,first time going but i think i will quickly become a regular,first time going think quickly become regular
"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",1,our server was very nice and even though he looked a little overwhelmed with all of our needs he stayed professional and friendly until the end,server nice even though looked little overwhelmed needs stayed professional friendly end
From what my dinner companions told me...everything was very fresh with nice texture and taste.,1,from what my dinner companions told me ... everything was very fresh with nice texture and taste,dinner companions told ... everything fresh nice texture taste
"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",0,on the ground right next to our table was a large smeared been-stepped-in-and-tracked-everywhere pile of green bird poop,ground right next table large smeared been-stepped-in-and-tracked-everywhere pile green bird poop
"Furthermore, you can't even find hours of operation on the website!",0,furthermore you can not even find hours of operation on the website,furthermore even find hours operation website
We've tried to like this place but after 10+ times I think we're done with them.,0,we have tried to like this place but after 10+ times i think we are done with them,tried like place 10+ times think done
What a mistake that was!,0,what a mistake that was,mistake
No complaints!,1,no complaints,complaints
This is some seriously good pizza and I'm an expert/connisseur on the topic.,1,this is some seriously good pizza and i am an expert/connisseur on the topic,seriously good pizza expert/connisseur topic
Waiter was a jerk.,0,waiter was a jerk,waiter jerk
"Strike 2, who wants to be rushed.",0,strike 2 who wants to be rushed,strike 2 wants rushed
These are the nicest restaurant owners I've ever come across.,1,these are the nicest restaurant owners i have ever come across,nicest restaurant owners ever come across
I never come again.,0,i never come again,never come
We loved the biscuits!!!,1,we loved the biscuits,loved biscuits
Service is quick and friendly.,1,service is quick and friendly,service quick friendly
Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.,0,ordered an appetizer and took 40 minutes and then the pizza another 10 minutes,ordered appetizer took 40 minutes pizza another 10 minutes
So absolutley fantastic.,1,so absolutley fantastic,absolutley fantastic
It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.,0,it was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat,huge awkward 1.5lb piece cow 3/4ths gristle fat
definitely will come back here again.,1,definitely will come back here again,definitely come back
I like Steiners because it's dark and it feels like a bar.,1,i like steiners because it is dark and it feels like a bar,like steiners dark feels like bar
Wow very spicy but delicious.,1,wow very spicy but delicious,wow spicy delicious
"If you're not familiar, check it out.",1,if you are not familiar check it out,familiar check
I'll take my business dinner dollars elsewhere.,0,i will take my business dinner dollars elsewhere,take business dinner dollars elsewhere
I'd love to go back.,1,i would love to go back,would love go back
"Anyway, this FS restaurant has a wonderful breakfast/lunch.",1,anyway this fs restaurant has a wonderful breakfast/lunch,anyway fs restaurant wonderful breakfast/lunch
Nothing special.,0,nothing special,nothing special
Each day of the week they have a different deal and it's all so delicious!,1,each day of the week they have a different deal and it is all so delicious,day week different deal delicious
"Not to mention the combination of pears, almonds and bacon is a big winner!",1,not to mention the combination of pears almonds and bacon is a big winner,mention combination pears almonds bacon big winner
Will not be back.,0,will not be back,back
Sauce was tasteless.,0,sauce was tasteless,sauce tasteless
"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.",1,the food is delicious and just spicy enough so be sure to ask for spicier if you prefer it that way,food delicious spicy enough sure ask spicier prefer way
My ribeye steak was cooked perfectly and had great mesquite flavor.,1,my ribeye steak was cooked perfectly and had great mesquite flavor,ribeye steak cooked perfectly great mesquite flavor
I don't think we'll be going back anytime soon.,0,i do not think we will be going back anytime soon,think going back anytime soon
Food was so gooodd.,1,food was so gooodd,food gooodd
I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.,0,i am far from a sushi connoisseur but i can definitely tell the difference between good food and bad food and this was certainly bad food,far sushi connoisseur definitely tell difference good food bad food certainly bad food
I was so insulted.,0,i was so insulted,insulted
The last 3 times I had lunch here has been bad.,0,the last 3 times i had lunch here has been bad,last 3 times lunch bad
The chicken wings contained the driest chicken meat I have ever eaten.,0,the chicken wings contained the driest chicken meat i have ever eaten,chicken wings contained driest chicken meat ever eaten
"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.",1,the food was very good and i enjoyed every mouthful an enjoyable relaxed venue for couples small family groups etc,food good enjoyed every mouthful enjoyable relaxed venue couples small family groups etc
Nargile - I think you are great.,1,nargile i think you are great,nargile think great
Best tater tots in the southwest.,1,best tater tots in the southwest,best tater tots southwest
We loved the place.,1,we loved the place,loved place
Definitely not worth the $3 I paid.,0,definitely not worth the 3 i paid,definitely worth 3 paid
The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.,1,the vanilla ice cream was creamy and smooth while the profiterole choux pastry was fresh enough,vanilla ice cream creamy smooth profiterole choux pastry fresh enough
Im in AZ all the time and now have my new spot.,1,i am in az all the time and now have my new spot,az time new spot
The manager was the worst.,0,the manager was the worst,manager worst
The inside is really quite nice and very clean.,1,the inside is really quite nice and very clean,inside really quite nice clean
The food was outstanding and the prices were very reasonable.,1,the food was outstanding and the prices were very reasonable,food outstanding prices reasonable
I don't think I'll be running back to Carly's anytime soon for food.,0,i do not think i will be running back to carly 's anytime soon for food,think running back carly 's anytime soon food
"This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things.",0,this is was due to the fact that it took 20 minutes to be acknowledged then another 35 minutes to get our food ... and they kept forgetting things,due fact took 20 minutes acknowledged another 35 minutes get food ... kept forgetting things
"Love the margaritas, too!",1,love the margaritas too,love margaritas
This was my first and only Vegas buffet and it did not disappoint.,1,this was my first and only vegas buffet and it did not disappoint,first vegas buffet disappoint
"Very good, though!",1,very good though,good though
The one down note is the ventilation could use some upgrading.,0,the one down note is the ventilation could use some upgrading,one note ventilation could use upgrading
Great pork sandwich.,1,great pork sandwich,great pork sandwich
Don't waste your time here.,0,do not waste your time here,waste time
"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.",0,total letdown i would much rather just go to the camelback flower shop and cartel coffee,total letdown would much rather go camelback flower shop cartel coffee
"Third, the cheese on my friend's burger was cold.",0,third the cheese on my friend 's burger was cold,third cheese friend 's burger cold
We enjoy their pizza and brunch.,1,we enjoy their pizza and brunch,enjoy pizza brunch
The steaks are all well trimmed and also perfectly cooked.,1,the steaks are all well trimmed and also perfectly cooked,steaks well trimmed also perfectly cooked
We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,1,we had a group of 70+ when we claimed we would only have 40 and they handled us beautifully,group 70+ claimed would 40 handled us beautifully
I LOVED it!,1,i loved it,loved
We asked for the bill to leave without eating and they didn't bring that either.,0,we asked for the bill to leave without eating and they did not bring that either,asked bill leave without eating bring either
"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here.",1,this place is a jewel in las vegas and exactly what i have been hoping to find in nearly ten years living here,place jewel las vegas exactly hoping find nearly ten years living
Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.,0,seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh,seafood limited boiled shrimp crab legs crab legs definitely taste fresh
The selection of food was not the best.,0,the selection of food was not the best,selection food best
Delicious and I will absolutely be back!,1,delicious and i will absolutely be back,delicious absolutely back
"This isn't a small family restaurant, this is a fine dining establishment.",1,this is not a small family restaurant this is a fine dining establishment,small family restaurant fine dining establishment
They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.,1,they had a toro tartare with a cavier that was extraordinary and i liked the thinly sliced wagyu with white truffle,toro tartare cavier extraordinary liked thinly sliced wagyu white truffle
I dont think I will be back for a very long time.,0,i do not think i will be back for a very long time,think back long time
"It was attached to a gas station, and that is rarely a good sign.",0,it was attached to a gas station and that is rarely a good sign,attached gas station rarely good sign
How awesome is that.,1,how awesome is that,awesome
I will be back many times soon.,1,i will be back many times soon,back many times soon
The menu had so much good stuff on it i could not decide!,1,the menu had so much good stuff on it i could not decide,menu much good stuff could decide
"Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings.",0,worse of all he humiliated his worker right in front of me .. bunch of horrible name callings,worse humiliated worker right front .. bunch horrible name callings
CONCLUSION: Very filling meals.,1,conclusion very filling meals,conclusion filling meals
Their daily specials are always a hit with my group.,1,their daily specials are always a hit with my group,daily specials always hit group
And then tragedy struck.,0,and then tragedy struck,tragedy struck
The pancake was also really good and pretty large at that.,1,the pancake was also really good and pretty large at that,pancake also really good pretty large
"This was my first crawfish experience, and it was delicious!",1,this was my first crawfish experience and it was delicious,first crawfish experience delicious
Their monster chicken fried steak and eggs is my all time favorite.,1,their monster chicken fried steak and eggs is my all time favorite,monster chicken fried steak eggs time favorite
Waitress was sweet and funny.,1,waitress was sweet and funny,waitress sweet funny
"I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!",1,i also had to taste my mom 's multi-grain pumpkin pancakes with pecan butter and they were amazing fluffy and delicious,also taste mom 's multi-grain pumpkin pancakes pecan butter amazing fluffy delicious
"I'd rather eat airline food, seriously.",0,i would rather eat airline food seriously,would rather eat airline food seriously
Cant say enough good things about this place.,1,can not say enough good things about this place,say enough good things place
The ambiance was incredible.,1,the ambiance was incredible,ambiance incredible
The waitress and manager are so friendly.,1,the waitress and manager are so friendly,waitress manager friendly
I would not recommend this place.,0,i would not recommend this place,would recommend place
Overall I wasn't very impressed with Noca.,0,overall i was not very impressed with noca,overall impressed noca
My gyro was basically lettuce only.,0,my gyro was basically lettuce only,gyro basically lettuce
Terrible service!,0,terrible service,terrible service
Thoroughly disappointed!,0,thoroughly disappointed,thoroughly disappointed
"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.",1,i do not each much pasta but i love the homemade /hand made pastas and thin pizzas here,much pasta love homemade /hand made pastas thin pizzas
"Give it a try, you will be happy you did.",1,give it a try you will be happy you did,give try happy
By far the BEST cheesecurds we have ever had!,1,by far the best cheesecurds we have ever had,far best cheesecurds ever
