Review,Liked,reviews_cleaned_lemmatized,reviews_cleaned
Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,0,base sub-par service receive effort show gratitude business go back,based on the sub-par service i received and no effort to show their gratitude for my business i will not be going back
Owner's are really great people.!,1,owner 's really great people,owner 's are really great people
There is nothing privileged about working/eating there.,0,nothing privilege working/eating,there is nothing privileged about working/eating there
The Greek dressing was very creamy and flavorful.,1,greek dress creamy flavorful,the greek dressing was very creamy and flavorful
"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0,overall think would take parent place make similar complaint silently felt,overall i do not think that i would take my parents to this place again because they made most of the similar complaints that i silently felt too
Now the pizza itself was good the peanut sauce was very tasty.,1,pizza good peanut sauce tasty,now the pizza itself was good the peanut sauce was very tasty
We had 7 at our table and the service was pretty fast.,1,7 table service pretty fast,we had 7 at our table and the service was pretty fast
Fantastic service here.,1,fantastic service,fantastic service here
I as well would've given godfathers zero stars if possible.,0,well would give godfather zero star possible,i as well would have given godfathers zero stars if possible
They know how to make them here.,1,know make,they know how to make them here
very tough and very short on flavor!,0,tough short flavor,very tough and very short on flavor
I hope this place sticks around.,1,hope place stick around,i hope this place sticks around
"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0,bar vegas ever recall charge tap water,i have been in more than a few bars in vegas and do not ever recall being charged for tap water
The restaurant atmosphere was exquisite.,1,restaurant atmosphere exquisite,the restaurant atmosphere was exquisite
"Good service, very clean, and inexpensive, to boot!",1,good service clean inexpensive boot,good service very clean and inexpensive to boot
The seafood was fresh and generous in portion.,1,seafood fresh generous portion,the seafood was fresh and generous in portion
"Plus, it's only 8 bucks.",1,plus 8 buck,plus it is only 8 bucks
"The service was not up to par, either.",0,service par either,the service was not up to par either
"Thus far, have only visited twice and the food was absolutely delicious each time.",1,thus far visited twice food absolutely delicious time,thus far have only visited twice and the food was absolutely delicious each time
Just as good as when I had it more than a year ago!,1,good year ago,just as good as when i had it more than a year ago
"For a self proclaimed coffee cafe, I was wildly disappointed.",0,self proclaim coffee cafe wildly disappoint,for a self proclaimed coffee cafe i was wildly disappointed
The Veggitarian platter is out of this world!,1,veggitarian platter world,the veggitarian platter is out of this world
You cant go wrong with any of the food here.,1,go wrong food,you can not go wrong with any of the food here
You can't beat that.,1,beat,you can not beat that
"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",1,stopped place madison ironman friendly kind staff,stopped by this place while in madison for the ironman very friendly kind staff
The chefs were friendly and did a good job.,1,chef friendly good job,the chefs were friendly and did a good job
"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",0,well dedicate boba tea spot even jenni pho,i have had better not only from dedicated boba tea spots but even from jenni pho
I liked the patio and the service was outstanding.,1,like patio service outstanding,i liked the patio and the service was outstanding
The goat taco didn't skimp on the meat and wow what FLAVOR!,1,goat taco skimp meat wow flavor,the goat taco did not skimp on the meat and wow what flavor
I think not again,0,think,i think not again
I had the mac salad and it was pretty bland so I will not be getting that again.,0,mac salad pretty bland get,i had the mac salad and it was pretty bland so i will not be getting that again
I went to Bachi Burger on a friend's recommendation and was not disappointed.,1,go bachi burger friend 's recommendation disappoint,i went to bachi burger on a friend 's recommendation and was not disappointed
Service stinks here!,0,service stink,service stinks here
I waited and waited.,0,wait wait,i waited and waited
"This place is not quality sushi, it is not a quality restaurant.",0,place quality sushi quality restaurant,this place is not quality sushi it is not a quality restaurant
I would definitely recommend the wings as well as the pizza.,1,would definitely recommend wing well pizza,i would definitely recommend the wings as well as the pizza
Great Pizza and Salads!,1,great pizza salad,great pizza and salads
Things that went wrong: - They burned the saganaki.,0,thing go wrong burn saganaki,things that went wrong they burned the saganaki
We waited an hour for what was a breakfast I could have done 100 times better at home.,0,wait hour breakfast could do 100 time well home,we waited an hour for what was a breakfast i could have done 100 times better at home
This place is amazing!,1,place amaze,this place is amazing
"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",0,hate disagree fellow yelpers husband disappointed place,i hate to disagree with my fellow yelpers but my husband and i were so disappointed with this place
Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,0,wait 2 hour never get either pizzas many around u come later,waited 2 hours never got either of our pizzas as many other around us who came in later did
Just don't know why they were so slow.,0,know slow,just do not know why they were so slow
"The staff is great, the food is delish, and they have an incredible beer selection.",1,staff great food delish incredible beer selection,the staff is great the food is delish and they have an incredible beer selection
"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",0,live neighborhood disappoint back convenient location,i live in the neighborhood so i am disappointed i will not be back here because it is a convenient location
I didn't know pulled pork could be soooo delicious.,1,know pull pork could soooo delicious,i did not know pulled pork could be soooo delicious
"You get incredibly fresh fish, prepared with care.",1,get incredibly fresh fish prepare care,you get incredibly fresh fish prepared with care
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,0,go give 1 star rating please know third time eat bachi burger write review,before i go in to why i gave a 1 star rating please know that this was my third time eating at bachi burger before writing a review
I love the fact that everything on their menu is worth it.,1,love fact everything menu worth,i love the fact that everything on their menu is worth it
Never again will I be dining at this place!,0,never din place,never again will i be dining at this place
The food was excellent and service was very good.,1,food excellent service good,the food was excellent and service was very good
Good beer & drink selection and good food selection.,1,good beer drink selection good food selection,good beer drink selection and good food selection
Please stay away from the shrimp stir fried noodles.,0,please stay away shrimp stir fry noodle,please stay away from the shrimp stir fried noodles
The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,0,potato chip order sad ... could probably count many chip box probably around 12,the potato chip order was sad ... i could probably count how many chips were in that box and it was probably around 12
Food was really boring.,0,food really boring,food was really boring
Good Service-check!,1,good service-check,good service-check
This greedy corporation will NEVER see another dime from me!,0,greedy corporation never see another dime,this greedy corporation will never see another dime from me
"Will never, ever go back.",0,never ever go back,will never ever go back
"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",0,much would like go back get pass atrocious service never return,as much as i would like to go back i can not get passed the atrocious service and will never return
"In the summer, you can dine in a charming outdoor patio - so very delightful.",1,summer dine charm outdoor patio delightful,in the summer you can dine in a charming outdoor patio so very delightful
I did not expect this to be so good!,1,expect good,i did not expect this to be so good
Fantastic food!,1,fantastic food,fantastic food
She ordered a toasted English muffin that came out untoasted.,0,order toast english muffin come untoasted,she ordered a toasted english muffin that came out untoasted
The food was very good.,1,food good,the food was very good
Never going back.,0,never go back,never going back
"Great food for the price, which is very high quality and house made.",1,great food price high quality house make,great food for the price which is very high quality and house made
The bus boy on the other hand was so rude.,0,bus boy hand rude,the bus boy on the other hand was so rude
"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",0,point friend basically figure place joke mind make publicly loudly know,by this point my friends and i had basically figured out this place was a joke and did not mind making it publicly and loudly known
"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",1,back good bbq light fare reasonable pricing tell public back old way,back to good bbq lighter fare reasonable pricing and tell the public they are back to the old ways
"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",1,consider two u leave full happy 20 go wrong,and considering the two of us left there very full and happy for about 20 you just can not go wrong
All the bread is made in-house!,1,bread make in-house,all the bread is made in-house
The only downside is the service.,0,downside service,the only downside is the service
"Also, the fries are without a doubt the worst fries I've ever had.",0,also fry without doubt worst fry ever,also the fries are without a doubt the worst fries i have ever had
Service was exceptional and food was a good as all the reviews.,1,service exceptional food good review,service was exceptional and food was a good as all the reviews
"A couple of months later, I returned and had an amazing meal.",1,couple month later return amazing meal,a couple of months later i returned and had an amazing meal
Favorite place in town for shawarrrrrrma!!!!!!,1,favorite place town shawarrrrrrma,favorite place in town for shawarrrrrrma
The black eyed peas and sweet potatoes... UNREAL!,1,black eye peas sweet potato ... unreal,the black eyed peas and sweet potatoes ... unreal
You won't be disappointed.,1,disappointed,you will not be disappointed
"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",1,could serve vinaigrette may make good overall dish still good,they could serve it with just the vinaigrette and it may make for a better overall dish but it was still very good
"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",0,go far many place never see restaurant serve 1 egg breakfast especially 4.00,i go to far too many places and i have never seen any restaurant that serves a 1 egg breakfast especially for 4.00
When my mom and I got home she immediately got sick and she only had a few bites of salad.,0,mom get home immediately get sick bite salad,when my mom and i got home she immediately got sick and she only had a few bites of salad
The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,0,server pleasant deal always honor pizza hut coupon,the servers are not pleasant to deal with and they do not always honor pizza hut coupons
"Both of them were truly unbelievably good, and I am so glad we went back.",1,truly unbelievably good glad go back,both of them were truly unbelievably good and i am so glad we went back
"We had fantastic service, and were pleased by the atmosphere.",1,fantastic service please atmosphere,we had fantastic service and were pleased by the atmosphere
Everything was gross.,0,everything gross,everything was gross
I love this place.,1,love place,i love this place
Great service and food.,1,great service food,great service and food
First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,0,first bathroom location dirty- seat cover replenish plain yucky,first the bathrooms at this location were dirty- seat covers were not replenished just plain yucky
"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",0,burger ... get `` gold standard `` 17 burger kind disappoint,the burger ... i got the `` gold standard '' a 17 burger and was kind of disappointed
"OMG, the food was delicioso!",1,omg food delicioso,omg the food was delicioso
There is nothing authentic about this place.,0,nothing authentic place,there is nothing authentic about this place
the spaghetti is nothing special whatsoever.,0,spaghetti nothing special whatsoever,the spaghetti is nothing special whatsoever
"Of all the dishes, the salmon was the best, but all were great.",1,dish salmon best great,of all the dishes the salmon was the best but all were great
The vegetables are so fresh and the sauce feels like authentic Thai.,1,vegetable fresh sauce feel like authentic thai,the vegetables are so fresh and the sauce feels like authentic thai
It's worth driving up from Tucson!,1,worth drive tucson,it is worth driving up from tucson
The selection was probably the worst I've seen in Vegas.....there was none.,0,selection probably worst see vega ..... none,the selection was probably the worst i have seen in vegas ..... there was none
Pretty good beer selection too.,1,pretty good beer selection,pretty good beer selection too
"This place is like Chipotle, but BETTER.",1,place like chipotle well,this place is like chipotle but better
"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",1,classy/warm atmosphere fun fresh appetizer succulent steak baseball steak,classy/warm atmosphere fun and fresh appetizers succulent steaks baseball steak
5 stars for the brick oven bread app!,1,5 star brick oven bread app,5 stars for the brick oven bread app
"I have eaten here multiple times, and each time the food was delicious.",1,eaten multiple time time food delicious,i have eaten here multiple times and each time the food was delicious
We sat another ten minutes and finally gave up and left.,0,sat another ten minute finally give leave,we sat another ten minutes and finally gave up and left
He was terrible!,0,terrible,he was terrible
Everyone is treated equally special.,1,everyone treat equally special,everyone is treated equally special
It shouldn't take 30 min for pancakes and eggs.,0,take 30 min pancake egg,it should not take 30 min for pancakes and eggs
It was delicious!!!,1,delicious,it was delicious
"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",1,good side staff genuinely pleasant enthusiastic real treat,on the good side the staff was genuinely pleasant and enthusiastic a real treat
"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",0,sadly gordon ramsey 's steak place shall sharply avoid next trip vega,sadly gordon ramsey 's steak is a place we shall sharply avoid during our next trip to vegas
As always the evening was wonderful and the food delicious!,1,always even wonderful food delicious,as always the evening was wonderful and the food delicious
Best fish I've ever had in my life!,1,best fish ever life,best fish i have ever had in my life
(The bathroom is just next door and very nice.),1,bathroom next door nice,the bathroom is just next door and very nice
The buffet is small and all the food they offered was BLAND.,0,buffet small food offer bland,the buffet is small and all the food they offered was bland
This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,1,outstanding little restaurant best food ever taste,this is an outstanding little restaurant with some of the best food i have ever tasted
Pretty cool I would say.,1,pretty cool would say,pretty cool i would say
Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,0,definitely turn doubt back unless someone else buy,definitely a turn off for me i doubt i will be back unless someone else is buying
Server did a great job handling our large rowdy table.,1,server great job handle large rowdy table,server did a great job handling our large rowdy table
"I find wasting food to be despicable, but this just wasn't food.",0,find wasting food despicable food,i find wasting food to be despicable but this just was not food
My wife had the Lobster Bisque soup which was lukewarm.,0,wife lobster bisque soup lukewarm,my wife had the lobster bisque soup which was lukewarm
Would come back again if I had a sushi craving while in Vegas.,1,would come back sushi craving vega,would come back again if i had a sushi craving while in vegas
"The staff are great, the ambiance is great.",1,staff great ambiance great,the staff are great the ambiance is great
He deserves 5 stars.,1,deserves 5 star,he deserves 5 stars
I left with a stomach ache and felt sick the rest of the day.,0,leave stomach ache felt sick rest day,i left with a stomach ache and felt sick the rest of the day
They dropped more than the ball.,0,drop ball,they dropped more than the ball
"The dining space is tiny, but elegantly decorated and comfortable.",1,din space tiny elegantly decorate comfortable,the dining space is tiny but elegantly decorated and comfortable
"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",1,customize order way would like usual eggplant green bean stir fry love,they will customize your order any way you would like my usual is eggplant with green bean stir fry love it
And the beans and rice were mediocre at best.,0,bean rice mediocre best,and the beans and rice were mediocre at best
Best tacos in town by far!!,1,best taco town far,best tacos in town by far
I took back my money and got outta there.,0,take back money get outta,i took back my money and got outta there
"In an interesting part of town, this place is amazing.",1,interesting part town place amaze,in an interesting part of town this place is amazing
RUDE & INCONSIDERATE MANAGEMENT.,0,rude inconsiderate management,rude inconsiderate management
"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",0,staff friendly wait time serve horrible one even say hi first 10 minute,the staff are now not as friendly the wait times for being served are horrible no one even says hi for the first 10 minutes
I won't be back.,0,back,i will not be back
They have great dinners.,1,great dinner,they have great dinners
The service was outshining & I definitely recommend the Halibut.,1,service outshine definitely recommend halibut,the service was outshining i definitely recommend the halibut
The food was terrible.,0,food terrible,the food was terrible
WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,0,never ever go back told many people happen,will never ever go back and have told many people what had happened
I don't recommend unless your car breaks down in front of it and you are starving.,0,recommend unless car break front starve,i do not recommend unless your car breaks down in front of it and you are starving
I will come back here every time I'm in Vegas.,1,come back every time vega,i will come back here every time i am in vegas
This place deserves one star and 90% has to do with the food.,0,place deserve one star 90 food,this place deserves one star and 90 has to do with the food
This is a disgrace.,0,disgrace,this is a disgrace
Def coming back to bowl next time,1,def come back bowl next time,def coming back to bowl next time
"If you want healthy authentic or ethic food, try this place.",1,want healthy authentic ethic food try place,if you want healthy authentic or ethic food try this place
I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area.,1,continue come lady night andddd date night ... highly recommend place anyone area,i will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area
"I have been here several times in the past, and the experience has always been great.",1,several time past experience always great,i have been here several times in the past and the experience has always been great
We walked away stuffed and happy about our first Vegas buffet experience.,1,walk away stuffed happy first vega buffet experience,we walked away stuffed and happy about our first vegas buffet experience
Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.,1,service excellent price pretty reasonable consider vega locate inside crystal shop mall aria,service was excellent and prices are pretty reasonable considering this is vegas and located inside the crystals shopping mall by aria
"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.",1,summarize ... food incredible nay transcendant ... nothing bring joy quite like memory pneumatic condiment dispenser,to summarize ... the food was incredible nay transcendant ... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser
I'm probably one of the few people to ever go to Ians and not like it.,0,probably one people ever go ians like,i am probably one of the few people to ever go to ians and not like it
Kids pizza is always a hit too with lots of great side dish options for the kiddos!,1,kid pizza always hit lots great side dish option kiddos,kids pizza is always a hit too with lots of great side dish options for the kiddos
Service is perfect and the family atmosphere is nice to see.,1,service perfect family atmosphere nice see,service is perfect and the family atmosphere is nice to see
Cooked to perfection and the service was impeccable.,1,cooked perfection service impeccable,cooked to perfection and the service was impeccable
This one is simply a disappointment.,0,one simply disappointment,this one is simply a disappointment
"Overall, I was very disappointed with the quality of food at Bouchon.",0,overall disappointed quality food bouchon,overall i was very disappointed with the quality of food at bouchon
I don't have to be an accountant to know I'm getting screwed!,0,accountant know get screw,i do not have to be an accountant to know i am getting screwed
"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.",1,great place eat remind little mom pop shop san francisco bay area,great place to eat reminds me of the little mom and pop shops in the san francisco bay area
Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.,1,today first taste buldogis gourmet hot dog tell ever think possible,today was my first taste of a buldogis gourmet hot dog and i have to tell you it was more than i ever thought possible
Left very frustrated.,0,left frustrated,left very frustrated
I'll definitely be in soon again.,1,definitely soon,i will definitely be in soon again
Food was really good and I got full petty fast.,1,food really good get full petty fast,food was really good and i got full petty fast
Service was fantastic.,1,service fantastic,service was fantastic
TOTAL WASTE OF TIME.,0,total waste time,total waste of time
I don't know what kind it is but they have the best iced tea.,1,know kind best iced tea,i do not know what kind it is but they have the best iced tea
"Come hungry, leave happy and stuffed!",1,come hungry leave happy stuffed,come hungry leave happy and stuffed
"For service, I give them no stars.",0,service give star,for service i give them no stars
I can assure you that you won't be disappointed.,1,assure disappoint,i can assure you that you will not be disappointed
I can take a little bad service but the food sucks.,0,take little bad service food suck,i can take a little bad service but the food sucks
Gave up trying to eat any of the crust (teeth still sore).,0,give try eat crust teeth still sore,gave up trying to eat any of the crust teeth still sore
But now I was completely grossed out.,0,completely gross,but now i was completely grossed out
I really enjoyed eating here.,1,really enjoy eating,i really enjoyed eating here
First time going but I think I will quickly become a regular.,1,first time go think quickly become regular,first time going but i think i will quickly become a regular
"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",1,server nice even though looked little overwhelmed need stay professional friendly end,our server was very nice and even though he looked a little overwhelmed with all of our needs he stayed professional and friendly until the end
From what my dinner companions told me...everything was very fresh with nice texture and taste.,1,dinner companion tell ... everything fresh nice texture taste,from what my dinner companions told me ... everything was very fresh with nice texture and taste
"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",0,ground right next table large smear been-stepped-in-and-tracked-everywhere pile green bird poop,on the ground right next to our table was a large smeared been-stepped-in-and-tracked-everywhere pile of green bird poop
"Furthermore, you can't even find hours of operation on the website!",0,furthermore even find hour operation website,furthermore you can not even find hours of operation on the website
We've tried to like this place but after 10+ times I think we're done with them.,0,try like place 10+ time think do,we have tried to like this place but after 10+ times i think we are done with them
What a mistake that was!,0,mistake,what a mistake that was
No complaints!,1,complaint,no complaints
This is some seriously good pizza and I'm an expert/connisseur on the topic.,1,seriously good pizza expert/connisseur topic,this is some seriously good pizza and i am an expert/connisseur on the topic
Waiter was a jerk.,0,waiter jerk,waiter was a jerk
"Strike 2, who wants to be rushed.",0,strike 2 want rush,strike 2 who wants to be rushed
These are the nicest restaurant owners I've ever come across.,1,nicest restaurant owner ever come across,these are the nicest restaurant owners i have ever come across
I never come again.,0,never come,i never come again
We loved the biscuits!!!,1,love biscuit,we loved the biscuits
Service is quick and friendly.,1,service quick friendly,service is quick and friendly
Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.,0,ordered appetizer take 40 minute pizza another 10 minute,ordered an appetizer and took 40 minutes and then the pizza another 10 minutes
So absolutley fantastic.,1,absolutley fantastic,so absolutley fantastic
It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.,0,huge awkward 1.5lb piece cow 3/4ths gristle fat,it was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat
definitely will come back here again.,1,definitely come back,definitely will come back here again
I like Steiners because it's dark and it feels like a bar.,1,like steiner dark feel like bar,i like steiners because it is dark and it feels like a bar
Wow very spicy but delicious.,1,wow spicy delicious,wow very spicy but delicious
"If you're not familiar, check it out.",1,familiar check,if you are not familiar check it out
I'll take my business dinner dollars elsewhere.,0,take business dinner dollar elsewhere,i will take my business dinner dollars elsewhere
I'd love to go back.,1,would love go back,i would love to go back
"Anyway, this FS restaurant has a wonderful breakfast/lunch.",1,anyway fs restaurant wonderful breakfast/lunch,anyway this fs restaurant has a wonderful breakfast/lunch
Nothing special.,0,nothing special,nothing special
Each day of the week they have a different deal and it's all so delicious!,1,day week different deal delicious,each day of the week they have a different deal and it is all so delicious
"Not to mention the combination of pears, almonds and bacon is a big winner!",1,mention combination pear almonds bacon big winner,not to mention the combination of pears almonds and bacon is a big winner
Will not be back.,0,back,will not be back
Sauce was tasteless.,0,sauce tasteless,sauce was tasteless
"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.",1,food delicious spicy enough sure ask spicier prefer way,the food is delicious and just spicy enough so be sure to ask for spicier if you prefer it that way
My ribeye steak was cooked perfectly and had great mesquite flavor.,1,ribeye steak cook perfectly great mesquite flavor,my ribeye steak was cooked perfectly and had great mesquite flavor
I don't think we'll be going back anytime soon.,0,think go back anytime soon,i do not think we will be going back anytime soon
Food was so gooodd.,1,food gooodd,food was so gooodd
I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.,0,far sushi connoisseur definitely tell difference good food bad food certainly bad food,i am far from a sushi connoisseur but i can definitely tell the difference between good food and bad food and this was certainly bad food
I was so insulted.,0,insult,i was so insulted
The last 3 times I had lunch here has been bad.,0,last 3 time lunch bad,the last 3 times i had lunch here has been bad
The chicken wings contained the driest chicken meat I have ever eaten.,0,chicken wing contain dry chicken meat ever eaten,the chicken wings contained the driest chicken meat i have ever eaten
"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.",1,food good enjoy every mouthful enjoyable relaxed venue couple small family group etc,the food was very good and i enjoyed every mouthful an enjoyable relaxed venue for couples small family groups etc
Nargile - I think you are great.,1,nargile think great,nargile i think you are great
Best tater tots in the southwest.,1,best tater tot southwest,best tater tots in the southwest
We loved the place.,1,loved place,we loved the place
Definitely not worth the $3 I paid.,0,definitely worth 3 pay,definitely not worth the 3 i paid
The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.,1,vanilla ice cream creamy smooth profiterole chou pastry fresh enough,the vanilla ice cream was creamy and smooth while the profiterole choux pastry was fresh enough
Im in AZ all the time and now have my new spot.,1,az time new spot,i am in az all the time and now have my new spot
The manager was the worst.,0,manager bad,the manager was the worst
The inside is really quite nice and very clean.,1,inside really quite nice clean,the inside is really quite nice and very clean
The food was outstanding and the prices were very reasonable.,1,food outstanding price reasonable,the food was outstanding and the prices were very reasonable
I don't think I'll be running back to Carly's anytime soon for food.,0,think run back carly 's anytime soon food,i do not think i will be running back to carly 's anytime soon for food
"This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things.",0,due fact take 20 minute acknowledge another 35 minute get food ... keep forgetting thing,this is was due to the fact that it took 20 minutes to be acknowledged then another 35 minutes to get our food ... and they kept forgetting things
"Love the margaritas, too!",1,love margarita,love the margaritas too
This was my first and only Vegas buffet and it did not disappoint.,1,first vega buffet disappoint,this was my first and only vegas buffet and it did not disappoint
"Very good, though!",1,good though,very good though
The one down note is the ventilation could use some upgrading.,0,one note ventilation could use upgrading,the one down note is the ventilation could use some upgrading
Great pork sandwich.,1,great pork sandwich,great pork sandwich
Don't waste your time here.,0,waste time,do not waste your time here
"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.",0,total letdown would much rather go camelback flower shop cartel coffee,total letdown i would much rather just go to the camelback flower shop and cartel coffee
"Third, the cheese on my friend's burger was cold.",0,third cheese friend 's burger cold,third the cheese on my friend 's burger was cold
We enjoy their pizza and brunch.,1,enjoy pizza brunch,we enjoy their pizza and brunch
The steaks are all well trimmed and also perfectly cooked.,1,steak well trim also perfectly cook,the steaks are all well trimmed and also perfectly cooked
We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,1,group 70+ claim would 40 handle u beautifully,we had a group of 70+ when we claimed we would only have 40 and they handled us beautifully
I LOVED it!,1,love,i loved it
We asked for the bill to leave without eating and they didn't bring that either.,0,ask bill leave without eat bring either,we asked for the bill to leave without eating and they did not bring that either
"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here.",1,place jewel la vega exactly hop find nearly ten year live,this place is a jewel in las vegas and exactly what i have been hoping to find in nearly ten years living here
Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.,0,seafood limit boiled shrimp crab legs crab leg definitely taste fresh,seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh
The selection of food was not the best.,0,selection food best,the selection of food was not the best
Delicious and I will absolutely be back!,1,delicious absolutely back,delicious and i will absolutely be back
"This isn't a small family restaurant, this is a fine dining establishment.",1,small family restaurant fine din establishment,this is not a small family restaurant this is a fine dining establishment
They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.,1,toro tartare cavier extraordinary like thinly slice wagyu white truffle,they had a toro tartare with a cavier that was extraordinary and i liked the thinly sliced wagyu with white truffle
I dont think I will be back for a very long time.,0,think back long time,i do not think i will be back for a very long time
"It was attached to a gas station, and that is rarely a good sign.",0,attach gas station rarely good sign,it was attached to a gas station and that is rarely a good sign
How awesome is that.,1,awesome,how awesome is that
I will be back many times soon.,1,back many time soon,i will be back many times soon
The menu had so much good stuff on it i could not decide!,1,menu much good stuff could decide,the menu had so much good stuff on it i could not decide
"Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings.",0,bad humiliate worker right front .. bunch horrible name calling,worse of all he humiliated his worker right in front of me .. bunch of horrible name callings
CONCLUSION: Very filling meals.,1,conclusion filling meal,conclusion very filling meals
Their daily specials are always a hit with my group.,1,daily special always hit group,their daily specials are always a hit with my group
And then tragedy struck.,0,tragedy strike,and then tragedy struck
The pancake was also really good and pretty large at that.,1,pancake also really good pretty large,the pancake was also really good and pretty large at that
"This was my first crawfish experience, and it was delicious!",1,first crawfish experience delicious,this was my first crawfish experience and it was delicious
Their monster chicken fried steak and eggs is my all time favorite.,1,monster chicken fry steak egg time favorite,their monster chicken fried steak and eggs is my all time favorite
Waitress was sweet and funny.,1,waitress sweet funny,waitress was sweet and funny
"I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!",1,also taste mom 's multi-grain pumpkin pancake pecan butter amaze fluffy delicious,i also had to taste my mom 's multi-grain pumpkin pancakes with pecan butter and they were amazing fluffy and delicious
"I'd rather eat airline food, seriously.",0,would rather eat airline food seriously,i would rather eat airline food seriously
Cant say enough good things about this place.,1,say enough good thing place,can not say enough good things about this place
The ambiance was incredible.,1,ambiance incredible,the ambiance was incredible
The waitress and manager are so friendly.,1,waitress manager friendly,the waitress and manager are so friendly
I would not recommend this place.,0,would recommend place,i would not recommend this place
Overall I wasn't very impressed with Noca.,0,overall impress noca,overall i was not very impressed with noca
My gyro was basically lettuce only.,0,gyro basically lettuce,my gyro was basically lettuce only
Terrible service!,0,terrible service,terrible service
Thoroughly disappointed!,0,thoroughly disappointed,thoroughly disappointed
"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.",1,much pasta love homemade /hand make pasta thin pizza,i do not each much pasta but i love the homemade /hand made pastas and thin pizzas here
"Give it a try, you will be happy you did.",1,give try happy,give it a try you will be happy you did
By far the BEST cheesecurds we have ever had!,1,far best cheesecurds ever,by far the best cheesecurds we have ever had
Reasonably priced also!,1,reasonably price also,reasonably priced also
Everything was perfect the night we were in.,1,everything perfect night,everything was perfect the night we were in
The food is very good for your typical bar food.,1,food good typical bar food,the food is very good for your typical bar food
it was a drive to get there.,0,drive get,it was a drive to get there
"At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff.",1,first glance lovely bakery cafe nice ambiance clean friendly staff,at first glance it is a lovely bakery cafe nice ambiance clean friendly staff
"Anyway, I do not think i will go back there.",0,anyway think go back,anyway i do not think i will go back there
