Review,Liked,reviews_cleaned
The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,0,the servers are not pleasant to deal with and they do not always honor pizza hut coupons
"Both of them were truly unbelievably good, and I am so glad we went back.",1,both of them were truly unbelievably good and i am so glad we went back
"We had fantastic service, and were pleased by the atmosphere.",1,we had fantastic service and were pleased by the atmosphere
Everything was gross.,0,everything was gross
I love this place.,1,i love this place
Great service and food.,1,great service and food
First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,0,first the bathrooms at this location were dirty- seat covers were not replenished just plain yucky
"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",0,the burger ... i got the `` gold standard '' a 17 burger and was kind of disappointed
"OMG, the food was delicioso!",1,omg the food was delicioso
There is nothing authentic about this place.,0,there is nothing authentic about this place
the spaghetti is nothing special whatsoever.,0,the spaghetti is nothing special whatsoever
"Of all the dishes, the salmon was the best, but all were great.",1,of all the dishes the salmon was the best but all were great
The vegetables are so fresh and the sauce feels like authentic Thai.,1,the vegetables are so fresh and the sauce feels like authentic thai
It's worth driving up from Tucson!,1,it is worth driving up from tucson
The selection was probably the worst I've seen in Vegas.....there was none.,0,the selection was probably the worst i have seen in vegas ..... there was none
Pretty good beer selection too.,1,pretty good beer selection too
"This place is like Chipotle, but BETTER.",1,this place is like chipotle but better
"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",1,classy/warm atmosphere fun and fresh appetizers succulent steaks baseball steak
5 stars for the brick oven bread app!,1,5 stars for the brick oven bread app
"I have eaten here multiple times, and each time the food was delicious.",1,i have eaten here multiple times and each time the food was delicious
We sat another ten minutes and finally gave up and left.,0,we sat another ten minutes and finally gave up and left
He was terrible!,0,he was terrible
Everyone is treated equally special.,1,everyone is treated equally special
It shouldn't take 30 min for pancakes and eggs.,0,it should not take 30 min for pancakes and eggs
It was delicious!!!,1,it was delicious
"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",1,on the good side the staff was genuinely pleasant and enthusiastic a real treat
"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",0,sadly gordon ramsey 's steak is a place we shall sharply avoid during our next trip to vegas
As always the evening was wonderful and the food delicious!,1,as always the evening was wonderful and the food delicious
Best fish I've ever had in my life!,1,best fish i have ever had in my life
(The bathroom is just next door and very nice.),1,the bathroom is just next door and very nice
The buffet is small and all the food they offered was BLAND.,0,the buffet is small and all the food they offered was bland
This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,1,this is an outstanding little restaurant with some of the best food i have ever tasted
Pretty cool I would say.,1,pretty cool i would say
Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,0,definitely a turn off for me i doubt i will be back unless someone else is buying
Server did a great job handling our large rowdy table.,1,server did a great job handling our large rowdy table
"I find wasting food to be despicable, but this just wasn't food.",0,i find wasting food to be despicable but this just was not food
My wife had the Lobster Bisque soup which was lukewarm.,0,my wife had the lobster bisque soup which was lukewarm
Would come back again if I had a sushi craving while in Vegas.,1,would come back again if i had a sushi craving while in vegas
"The staff are great, the ambiance is great.",1,the staff are great the ambiance is great
He deserves 5 stars.,1,he deserves 5 stars
I left with a stomach ache and felt sick the rest of the day.,0,i left with a stomach ache and felt sick the rest of the day
They dropped more than the ball.,0,they dropped more than the ball
"The dining space is tiny, but elegantly decorated and comfortable.",1,the dining space is tiny but elegantly decorated and comfortable
"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",1,they will customize your order any way you would like my usual is eggplant with green bean stir fry love it
And the beans and rice were mediocre at best.,0,and the beans and rice were mediocre at best
Best tacos in town by far!!,1,best tacos in town by far
I took back my money and got outta there.,0,i took back my money and got outta there
"In an interesting part of town, this place is amazing.",1,in an interesting part of town this place is amazing
RUDE & INCONSIDERATE MANAGEMENT.,0,rude inconsiderate management
"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",0,the staff are now not as friendly the wait times for being served are horrible no one even says hi for the first 10 minutes
I won't be back.,0,i will not be back
They have great dinners.,1,they have great dinners
The service was outshining & I definitely recommend the Halibut.,1,the service was outshining i definitely recommend the halibut
The food was terrible.,0,the food was terrible
WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,0,will never ever go back and have told many people what had happened
I don't recommend unless your car breaks down in front of it and you are starving.,0,i do not recommend unless your car breaks down in front of it and you are starving
I will come back here every time I'm in Vegas.,1,i will come back here every time i am in vegas
This place deserves one star and 90% has to do with the food.,0,this place deserves one star and 90 has to do with the food
This is a disgrace.,0,this is a disgrace
Def coming back to bowl next time,1,def coming back to bowl next time
"If you want healthy authentic or ethic food, try this place.",1,if you want healthy authentic or ethic food try this place
I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area.,1,i will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area
"I have been here several times in the past, and the experience has always been great.",1,i have been here several times in the past and the experience has always been great
We walked away stuffed and happy about our first Vegas buffet experience.,1,we walked away stuffed and happy about our first vegas buffet experience
Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.,1,service was excellent and prices are pretty reasonable considering this is vegas and located inside the crystals shopping mall by aria
"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.",1,to summarize ... the food was incredible nay transcendant ... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser
I'm probably one of the few people to ever go to Ians and not like it.,0,i am probably one of the few people to ever go to ians and not like it
Kids pizza is always a hit too with lots of great side dish options for the kiddos!,1,kids pizza is always a hit too with lots of great side dish options for the kiddos
Service is perfect and the family atmosphere is nice to see.,1,service is perfect and the family atmosphere is nice to see
Cooked to perfection and the service was impeccable.,1,cooked to perfection and the service was impeccable
This one is simply a disappointment.,0,this one is simply a disappointment
"Overall, I was very disappointed with the quality of food at Bouchon.",0,overall i was very disappointed with the quality of food at bouchon
I don't have to be an accountant to know I'm getting screwed!,0,i do not have to be an accountant to know i am getting screwed
"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.",1,great place to eat reminds me of the little mom and pop shops in the san francisco bay area
Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.,1,today was my first taste of a buldogis gourmet hot dog and i have to tell you it was more than i ever thought possible
Left very frustrated.,0,left very frustrated
I'll definitely be in soon again.,1,i will definitely be in soon again
Food was really good and I got full petty fast.,1,food was really good and i got full petty fast
Service was fantastic.,1,service was fantastic
TOTAL WASTE OF TIME.,0,total waste of time
I don't know what kind it is but they have the best iced tea.,1,i do not know what kind it is but they have the best iced tea
"Come hungry, leave happy and stuffed!",1,come hungry leave happy and stuffed
"For service, I give them no stars.",0,for service i give them no stars
I can assure you that you won't be disappointed.,1,i can assure you that you will not be disappointed
I can take a little bad service but the food sucks.,0,i can take a little bad service but the food sucks
Gave up trying to eat any of the crust (teeth still sore).,0,gave up trying to eat any of the crust teeth still sore
But now I was completely grossed out.,0,but now i was completely grossed out
I really enjoyed eating here.,1,i really enjoyed eating here
First time going but I think I will quickly become a regular.,1,first time going but i think i will quickly become a regular
"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",1,our server was very nice and even though he looked a little overwhelmed with all of our needs he stayed professional and friendly until the end
From what my dinner companions told me...everything was very fresh with nice texture and taste.,1,from what my dinner companions told me ... everything was very fresh with nice texture and taste
"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",0,on the ground right next to our table was a large smeared been-stepped-in-and-tracked-everywhere pile of green bird poop
"Furthermore, you can't even find hours of operation on the website!",0,furthermore you can not even find hours of operation on the website
We've tried to like this place but after 10+ times I think we're done with them.,0,we have tried to like this place but after 10+ times i think we are done with them
What a mistake that was!,0,what a mistake that was
No complaints!,1,no complaints
This is some seriously good pizza and I'm an expert/connisseur on the topic.,1,this is some seriously good pizza and i am an expert/connisseur on the topic
Waiter was a jerk.,0,waiter was a jerk
"Strike 2, who wants to be rushed.",0,strike 2 who wants to be rushed
These are the nicest restaurant owners I've ever come across.,1,these are the nicest restaurant owners i have ever come across
I never come again.,0,i never come again
We loved the biscuits!!!,1,we loved the biscuits
Service is quick and friendly.,1,service is quick and friendly
Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.,0,ordered an appetizer and took 40 minutes and then the pizza another 10 minutes
So absolutley fantastic.,1,so absolutley fantastic
It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.,0,it was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat
definitely will come back here again.,1,definitely will come back here again
I like Steiners because it's dark and it feels like a bar.,1,i like steiners because it is dark and it feels like a bar
Wow very spicy but delicious.,1,wow very spicy but delicious
"If you're not familiar, check it out.",1,if you are not familiar check it out
I'll take my business dinner dollars elsewhere.,0,i will take my business dinner dollars elsewhere
I'd love to go back.,1,i would love to go back
"Anyway, this FS restaurant has a wonderful breakfast/lunch.",1,anyway this fs restaurant has a wonderful breakfast/lunch
Nothing special.,0,nothing special
Each day of the week they have a different deal and it's all so delicious!,1,each day of the week they have a different deal and it is all so delicious
"Not to mention the combination of pears, almonds and bacon is a big winner!",1,not to mention the combination of pears almonds and bacon is a big winner
Will not be back.,0,will not be back
Sauce was tasteless.,0,sauce was tasteless
"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.",1,the food is delicious and just spicy enough so be sure to ask for spicier if you prefer it that way
My ribeye steak was cooked perfectly and had great mesquite flavor.,1,my ribeye steak was cooked perfectly and had great mesquite flavor
I don't think we'll be going back anytime soon.,0,i do not think we will be going back anytime soon
Food was so gooodd.,1,food was so gooodd
I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.,0,i am far from a sushi connoisseur but i can definitely tell the difference between good food and bad food and this was certainly bad food
I was so insulted.,0,i was so insulted
The last 3 times I had lunch here has been bad.,0,the last 3 times i had lunch here has been bad
The chicken wings contained the driest chicken meat I have ever eaten.,0,the chicken wings contained the driest chicken meat i have ever eaten
"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.",1,the food was very good and i enjoyed every mouthful an enjoyable relaxed venue for couples small family groups etc
Nargile - I think you are great.,1,nargile i think you are great
Best tater tots in the southwest.,1,best tater tots in the southwest
We loved the place.,1,we loved the place
Definitely not worth the $3 I paid.,0,definitely not worth the 3 i paid
The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.,1,the vanilla ice cream was creamy and smooth while the profiterole choux pastry was fresh enough
Im in AZ all the time and now have my new spot.,1,i am in az all the time and now have my new spot
The manager was the worst.,0,the manager was the worst
The inside is really quite nice and very clean.,1,the inside is really quite nice and very clean
The food was outstanding and the prices were very reasonable.,1,the food was outstanding and the prices were very reasonable
I don't think I'll be running back to Carly's anytime soon for food.,0,i do not think i will be running back to carly 's anytime soon for food
"This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things.",0,this is was due to the fact that it took 20 minutes to be acknowledged then another 35 minutes to get our food ... and they kept forgetting things
"Love the margaritas, too!",1,love the margaritas too
This was my first and only Vegas buffet and it did not disappoint.,1,this was my first and only vegas buffet and it did not disappoint
"Very good, though!",1,very good though
The one down note is the ventilation could use some upgrading.,0,the one down note is the ventilation could use some upgrading
Great pork sandwich.,1,great pork sandwich
Don't waste your time here.,0,do not waste your time here
"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.",0,total letdown i would much rather just go to the camelback flower shop and cartel coffee
"Third, the cheese on my friend's burger was cold.",0,third the cheese on my friend 's burger was cold
We enjoy their pizza and brunch.,1,we enjoy their pizza and brunch
The steaks are all well trimmed and also perfectly cooked.,1,the steaks are all well trimmed and also perfectly cooked
We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,1,we had a group of 70+ when we claimed we would only have 40 and they handled us beautifully
I LOVED it!,1,i loved it
We asked for the bill to leave without eating and they didn't bring that either.,0,we asked for the bill to leave without eating and they did not bring that either
"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here.",1,this place is a jewel in las vegas and exactly what i have been hoping to find in nearly ten years living here
Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.,0,seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh
The selection of food was not the best.,0,the selection of food was not the best
Delicious and I will absolutely be back!,1,delicious and i will absolutely be back
"This isn't a small family restaurant, this is a fine dining establishment.",1,this is not a small family restaurant this is a fine dining establishment
They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.,1,they had a toro tartare with a cavier that was extraordinary and i liked the thinly sliced wagyu with white truffle
I dont think I will be back for a very long time.,0,i do not think i will be back for a very long time
"It was attached to a gas station, and that is rarely a good sign.",0,it was attached to a gas station and that is rarely a good sign
How awesome is that.,1,how awesome is that
I will be back many times soon.,1,i will be back many times soon
The menu had so much good stuff on it i could not decide!,1,the menu had so much good stuff on it i could not decide
"Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings.",0,worse of all he humiliated his worker right in front of me .. bunch of horrible name callings
CONCLUSION: Very filling meals.,1,conclusion very filling meals
Their daily specials are always a hit with my group.,1,their daily specials are always a hit with my group
And then tragedy struck.,0,and then tragedy struck
The pancake was also really good and pretty large at that.,1,the pancake was also really good and pretty large at that
"This was my first crawfish experience, and it was delicious!",1,this was my first crawfish experience and it was delicious
Their monster chicken fried steak and eggs is my all time favorite.,1,their monster chicken fried steak and eggs is my all time favorite
Waitress was sweet and funny.,1,waitress was sweet and funny
"I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!",1,i also had to taste my mom 's multi-grain pumpkin pancakes with pecan butter and they were amazing fluffy and delicious
"I'd rather eat airline food, seriously.",0,i would rather eat airline food seriously
Cant say enough good things about this place.,1,can not say enough good things about this place
The ambiance was incredible.,1,the ambiance was incredible
The waitress and manager are so friendly.,1,the waitress and manager are so friendly
I would not recommend this place.,0,i would not recommend this place
Overall I wasn't very impressed with Noca.,0,overall i was not very impressed with noca
My gyro was basically lettuce only.,0,my gyro was basically lettuce only
Terrible service!,0,terrible service
Thoroughly disappointed!,0,thoroughly disappointed
"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.",1,i do not each much pasta but i love the homemade /hand made pastas and thin pizzas here
"Give it a try, you will be happy you did.",1,give it a try you will be happy you did
By far the BEST cheesecurds we have ever had!,1,by far the best cheesecurds we have ever had
Reasonably priced also!,1,reasonably priced also
Everything was perfect the night we were in.,1,everything was perfect the night we were in
The food is very good for your typical bar food.,1,the food is very good for your typical bar food
it was a drive to get there.,0,it was a drive to get there
"At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff.",1,at first glance it is a lovely bakery cafe nice ambiance clean friendly staff
"Anyway, I do not think i will go back there.",0,anyway i do not think i will go back there
"Point your finger at any item on the menu, order it and you won't be disappointed.",1,point your finger at any item on the menu order it and you will not be disappointed
"Oh this is such a thing of beauty, this restaurant.",1,oh this is such a thing of beauty this restaurant
If you haven't gone here GO NOW!,1,if you have not gone here go now
"A greasy, unhealthy meal.",0,a greasy unhealthy meal
first time there and might just be the last.,0,first time there and might just be the last
Those burgers were amazing.,1,those burgers were amazing
"Similarly, the delivery man did not say a word of apology when our food was 45 minutes late.",0,similarly the delivery man did not say a word of apology when our food was 45 minutes late
And it was way to expensive.,0,and it was way to expensive
"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.",1,be sure to order dessert even if you need to pack it to-go the tiramisu and cannoli are both to die for
This was my first time and I can't wait until the next.,1,this was my first time and i can not wait until the next
The bartender was also nice.,1,the bartender was also nice
Everything was good and tasty!,1,everything was good and tasty
This place is two thumbs up....way up.,1,this place is two thumbs up .... way up
"The best place in Vegas for breakfast (just check out a Sat, or Sun.",1,the best place in vegas for breakfast just check out a sat or sun
"If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place.",1,if you love authentic mexican food and want a whole bunch of interesting yet delicious meats to choose from you need to try this place
Terrible management.,0,terrible management
An excellent new restaurant by an experienced Frenchman.,1,an excellent new restaurant by an experienced frenchman
If there were zero stars I would give it zero stars.,0,if there were zero stars i would give it zero stars
"Great steak, great sides, great wine, amazing desserts.",1,great steak great sides great wine amazing desserts
Worst martini ever!,0,worst martini ever
The steak and the shrimp are in my opinion the best entrees at GC.,1,the steak and the shrimp are in my opinion the best entrees at gc
I had the opportunity today to sample your amazing pizzas!,1,i had the opportunity today to sample your amazing pizzas
We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).,0,we waited for thirty minutes to be seated although there were 8 vacant tables and we were the only folks waiting
The yellowtail carpaccio was melt in your mouth fresh.,1,the yellowtail carpaccio was melt in your mouth fresh
I won't try going back there even if it's empty.,0,i will not try going back there even if it is empty
"No, I'm going to eat the potato that I found some strangers hair in it.",0,no i am going to eat the potato that i found some strangers hair in it
Just spicy enough.. Perfect actually.,1,just spicy enough .. perfect actually
Last night was my second time dining here and I was so happy I decided to go back!,1,last night was my second time dining here and i was so happy i decided to go back
"not even a ""hello, we will be right with you.""",0,not even a `` hello we will be right with you ''
The desserts were a bit strange.,0,the desserts were a bit strange
My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.,1,my boyfriend and i came here for the first time on a recent trip to vegas and could not have been more pleased with the quality of food and service
"I really do recommend this place, you can go wrong with this donut place!",1,i really do recommend this place you can go wrong with this donut place
Nice ambiance.,1,nice ambiance
I would recommend saving room for this!,1,i would recommend saving room for this
I guess maybe we went on an off night but it was disgraceful.,0,i guess maybe we went on an off night but it was disgraceful
"However, my recent experience at this particular location was not so good.",0,however my recent experience at this particular location was not so good
"I know this is not like the other restaurants at all, something is very off here!",0,i know this is not like the other restaurants at all something is very off here
AVOID THIS ESTABLISHMENT!,0,avoid this establishment
I think this restaurant suffers from not trying hard enough.,0,i think this restaurant suffers from not trying hard enough
All of the tapas dishes were delicious!,1,all of the tapas dishes were delicious
I *heart* this place.,1,i heart this place
My salad had a bland vinegrette on the baby greens and hearts of Palm.,0,my salad had a bland vinegrette on the baby greens and hearts of palm
After two I felt disgusting.,0,after two i felt disgusting
A good time!,1,a good time
I believe that this place is a great stop for those with a huge belly and hankering for sushi.,1,i believe that this place is a great stop for those with a huge belly and hankering for sushi
Generous portions and great taste.,1,generous portions and great taste
I will never go back to this place and will never ever recommended this place to anyone!,0,i will never go back to this place and will never ever recommended this place to anyone
"The servers went back and forth several times, not even so much as an ""Are you being helped?""",0,the servers went back and forth several times not even so much as an `` are you being helped ''
Food was delicious!,1,food was delicious
AN HOUR... seriously?,0,an hour ... seriously
I consider this theft.,0,i consider this theft
Eew... This location needs a complete overhaul.,0,eew ... this location needs a complete overhaul
We recently witnessed her poor quality of management towards other guests as well.,0,we recently witnessed her poor quality of management towards other guests as well
Waited and waited and waited.,0,waited and waited and waited
"He also came back to check on us regularly, excellent service.",1,he also came back to check on us regularly excellent service
Our server was super nice and checked on us many times.,1,our server was super nice and checked on us many times
"The pizza tasted old, super chewy in not a good way.",0,the pizza tasted old super chewy in not a good way
I swung in to give them a try but was deeply disappointed.,0,i swung in to give them a try but was deeply disappointed
Service was good and the company was better!,1,service was good and the company was better
The staff are also very friendly and efficient.,1,the staff are also very friendly and efficient
"As for the service: I'm a fan, because it's quick and you're being served by some nice folks.",1,as for the service i am a fan because it is quick and you are being served by some nice folks
Boy was that sucker dry!!.,0,boy was that sucker dry
Over rated.,0,over rated
"If you look for authentic Thai food, go else where.",0,if you look for authentic thai food go else where
Their steaks are 100% recommended!,1,their steaks are 100 recommended
After I pulled up my car I waited for another 15 minutes before being acknowledged.,0,after i pulled up my car i waited for another 15 minutes before being acknowledged
Great food and great service in a clean and friendly setting.,1,great food and great service in a clean and friendly setting
"All in all, I can assure you I'll be back.",1,all in all i can assure you i will be back
I hate those things as much as cheap quality black olives.,0,i hate those things as much as cheap quality black olives
"My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar.",1,my breakfast was perpared great with a beautiful presentation of 3 giant slices of toast lightly dusted with powdered sugar
The kids play area is NASTY!,0,the kids play area is nasty
Great place fo take out or eat in.,1,great place fo take out or eat in
The waitress was friendly and happy to accomodate for vegan/veggie options.,1,the waitress was friendly and happy to accomodate for vegan/veggie options
OMG I felt like I had never eaten Thai food until this dish.,1,omg i felt like i had never eaten thai food until this dish
"It was extremely ""crumby"" and pretty tasteless.",0,it was extremely `` crumby '' and pretty tasteless
It was a pale color instead of nice and char and has NO flavor.,0,it was a pale color instead of nice and char and has no flavor
The croutons also taste homemade which is an extra plus.,1,the croutons also taste homemade which is an extra plus
I got home to see the driest damn wings ever!,0,i got home to see the driest damn wings ever
It'll be a regular stop on my trips to Phoenix!,1,it will be a regular stop on my trips to phoenix
I really enjoyed Crema Café before they expanded. I even told friends they had the BEST breakfast.,1,i really enjoyed crema café before they expanded i even told friends they had the best breakfast
Not good for the money.,0,not good for the money
I miss it and wish they had one in Philadelphia!,1,i miss it and wish they had one in philadelphia
"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.",0,we got sitting fairly fast but ended up waiting 40 minutes just to place our order another 30 minutes before the food arrived
They also have the best cheese crisp in town.,1,they also have the best cheese crisp in town
"Good value, great food, great service.",1,good value great food great service
Couldn't ask for a more satisfying meal.,1,could not ask for a more satisfying meal
The food is good.,1,the food is good
It was awesome.,1,it was awesome
I just wanted to leave.,0,i just wanted to leave
We made the drive all the way from North Scottsdale... and I was not one bit disappointed!,1,we made the drive all the way from north scottsdale ... and i was not one bit disappointed
I will not be eating there again.,0,i will not be eating there again
!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!,0,.... the owners really really need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one
I checked out this place a couple years ago and was not impressed.,0,i checked out this place a couple years ago and was not impressed
"The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy.",0,the chicken i got was definitely reheated and was only ok the wedges were cold and soggy
"Sorry, I will not be getting food from here anytime soon :(",0,sorry i will not be getting food from here anytime soon
An absolute must visit!,1,an absolute must visit
The cow tongue and cheek tacos are amazing.,1,the cow tongue and cheek tacos are amazing
My friend did not like his Bloody Mary.,0,my friend did not like his bloody mary
"Despite how hard I rate businesses, its actually rare for me to give a 1 star.",0,despite how hard i rate businesses its actually rare for me to give a 1 star
They really want to make your experience a good one.,1,they really want to make your experience a good one
I will not return.,0,i will not return
I had the chicken Pho and it tasted very bland.,0,i had the chicken pho and it tasted very bland
Very disappointing!!!,0,very disappointing
The grilled chicken was so tender and yellow from the saffron seasoning.,1,the grilled chicken was so tender and yellow from the saffron seasoning
"a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait.",0,a drive thru means you do not want to wait around for half an hour for your food but somehow when we end up going here they make us wait and wait
Pretty awesome place.,1,pretty awesome place
Ambience is perfect.,1,ambience is perfect
Best of luck to the rude and non-customer service focused new management.,0,best of luck to the rude and non-customer service focused new management
Any grandmother can make a roasted chicken better than this one.,0,any grandmother can make a roasted chicken better than this one
I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.,0,i asked multiple times for the wine list and after some time of being ignored i went to the hostess and got one myself
"The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!",1,the staff is always super friendly and helpful which is especially cool when you bring two small boys and a baby
Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !,1,four stars for the food the guy in the blue shirt for his great vibe still letting us in to eat
The roast beef sandwich tasted really good!,1,the roast beef sandwich tasted really good
"Same evening, him and I are both drastically sick.",0,same evening him and i are both drastically sick
High-quality chicken on the chicken Caesar salad.,1,high-quality chicken on the chicken caesar salad
Ordered burger rare came in we'll done.,0,ordered burger rare came in we will done
We were promptly greeted and seated.,1,we were promptly greeted and seated
Tried to go here for lunch and it was a madhouse.,0,tried to go here for lunch and it was a madhouse
"I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.",1,i was proven dead wrong by this sushi bar not only because the quality is great but the service is fast and the food impeccable
"After waiting an hour and being seated, I was not in the greatest of moods.",0,after waiting an hour and being seated i was not in the greatest of moods
This is a good joint.,1,this is a good joint
The Macarons here are insanely good.,1,the macarons here are insanely good
I'm not eating here!,0,i am not eating here
"Our waiter was very attentive, friendly, and informative.",1,our waiter was very attentive friendly and informative
Maybe if they weren't cold they would have been somewhat edible.,0,maybe if they were not cold they would have been somewhat edible
This place has a lot of promise but fails to deliver.,0,this place has a lot of promise but fails to deliver
Very bad Experience!,0,very bad experience
What a mistake.,0,what a mistake
Food was average at best.,0,food was average at best
Great food.,1,great food
We won't be going back anytime soon!,0,we will not be going back anytime soon
Very Very Disappointed ordered the $35 Big Bay Plater.,0,very very disappointed ordered the 35 big bay plater
Great place to relax and have an awesome burger and beer.,1,great place to relax and have an awesome burger and beer
It is PERFECT for a sit-down family meal or get together with a few friends.,1,it is perfect for a sit-down family meal or get together with a few friends
"Not much flavor to them, and very poorly constructed.",0,not much flavor to them and very poorly constructed
The patio seating was very comfortable.,1,the patio seating was very comfortable
The fried rice was dry as well.,0,the fried rice was dry as well
Hands down my favorite Italian restaurant!,1,hands down my favorite italian restaurant
"That just SCREAMS ""LEGIT"" in my book...somethat's also pretty rare here in Vegas.",1,that just screams `` legit '' in my book ... somethat 's also pretty rare here in vegas
It was just not a fun experience.,1,it was just not a fun experience
The atmosphere was great with a lovely duo of violinists playing songs we requested.,1,the atmosphere was great with a lovely duo of violinists playing songs we requested
"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).",1,i personally love the hummus pita baklava falafels and baba ganoush it is amazing what they do with eggplant
"Very convenient, since we were staying at the MGM!",1,very convenient since we were staying at the mgm
The owners are super friendly and the staff is courteous.,1,the owners are super friendly and the staff is courteous
Both great!,1,both great
Eclectic selection.,1,eclectic selection
The sweet potato tots were good but the onion rings were perfection or as close as I have had.,1,the sweet potato tots were good but the onion rings were perfection or as close as i have had
The staff was very attentive.,1,the staff was very attentive
And the chef was generous with his time (even came around twice so we can take pictures with him).,1,and the chef was generous with his time even came around twice so we can take pictures with him
"The owner used to work at Nobu, so this place is really similar for half the price.",1,the owner used to work at nobu so this place is really similar for half the price
Google mediocre and I imagine Smashburger will pop up.,0,google mediocre and i imagine smashburger will pop up
dont go here.,0,do not go here
I promise they won't disappoint.,1,i promise they will not disappoint
As a sushi lover avoid this place by all means.,0,as a sushi lover avoid this place by all means
What a great double cheeseburger!,1,what a great double cheeseburger
Awesome service and food.,1,awesome service and food
A fantastic neighborhood gem !!!,1,a fantastic neighborhood gem
I can't wait to go back.,1,i can not wait to go back
The plantains were the worst I've ever tasted.,0,the plantains were the worst i have ever tasted
It's a great place and I highly recommend it.,1,it is a great place and i highly recommend it
Service was slow and not attentive.,0,service was slow and not attentive
"I gave it 5 stars then, and I'm giving it 5 stars now.",1,i gave it 5 stars then and i am giving it 5 stars now
Your staff spends more time talking to themselves than me.,0,your staff spends more time talking to themselves than me
Dessert: Panna Cotta was amazing.,1,dessert panna cotta was amazing
"Very good food, great atmosphere.1",1,very good food great atmosphere.1
Damn good steak.,1,damn good steak
Total brunch fail.,0,total brunch fail
"Prices are very reasonable, flavors are spot on, the sauce is home made, and the slaw is not drenched in mayo.",1,prices are very reasonable flavors are spot on the sauce is home made and the slaw is not drenched in mayo
"The decor is nice, and the piano music soundtrack is pleasant.",1,the decor is nice and the piano music soundtrack is pleasant
The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!,1,the steak was amazing ... rge fillet relleno was the best seafood plate i have ever had
